order_date, order_week, distribution_center, sales_order, pool, item_number, mold, order_quantity, ship_month, week_ship, production_department, cast_completed, cast_shortage, casting_deadline, export_to_ie, pending_export, remarks
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,193158C01-58,,50.0,Jan,W5,Cell-5,,-50,,,-50,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,296317CZ,,2350.0,Jan,W5,Cell-5,,-2350,,,-2350,
2024-12-03 00:00:00,W49,TDC,SO24004225,OEM Replenishment order,296317CZ,,150.0,Jan,W5,Cell-5,,-150,,,-150,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,296319CZ,,200.0,Jan,W5,Cell-5,,-200,,,-200,
2024-12-03 00:00:00,W49,EDC,SO24004128,OEM Essential Order,298307C00,,2600.0,Jan,W5,Cell-5,,-2600,,,-2600,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,593317C00-2,,150.0,Jan,W5,Cell-5,,-150,,,-150,
2024-12-03 00:00:00,W49,PAN,SO24004131,OEM Replenishment order,593317C00-3,,100.0,Jan,W5,Cell-5,,-100,,,-100,
2024-12-03 00:00:00,W49,EDC,SO24004143,OEM 2025 Cycle C Pre ship,793785C01,,3941.0,Feb,W8,Cell-5,,-3941,,,-3941,
2024-12-03 00:00:00,W49,PAN,SO24004146,OEM 2025 Cycle C Pre ship,793785C01,,747.0,Feb,W8,Cell-5,,-747,,,-747,
2024-12-03 00:00:00,W49,TDC,SO24004154,OEM 2025 Cycle C Pre ship,793785C01,,273.0,Feb,W8,Cell-5,,-273,,,-273,
2024-12-03 00:00:00,W49,EDC,SO24004144,OEM 2025 Cycle C Global MF,793785C01,,15949.0,Mar,W10,Cell-5,,-15949,,,-15949,
2024-12-03 00:00:00,W49,EDC,SO24004145,OEM 2025 Cycle C Global MF,793785C01,,4707.0,Mar,W10,Cell-5,,-4707,,,-4707,
2024-12-03 00:00:00,W49,PAN,SO24004147,OEM 2025 Cycle C Global MF,793785C01,,6850.0,Mar,W10,Cell-5,,-6850,,,-6850,
2024-12-03 00:00:00,W49,PAN,SO24004148,OEM 2025 Cycle C Global MF,793785C01,,1647.0,Mar,W10,Cell-5,,-1647,,,-1647,
2024-12-03 00:00:00,W49,TDC,SO24004158,OEM 2025 Cycle C Global MF,793785C01,,335.0,Mar,W10,Cell-5,,-335,,,-335,
2024-12-03 00:00:00,W49,TDC,SO24004156,OEM 2025 Cycle C Global MF,793785C01,,2445.0,Mar,W10,Cell-5,,-2445,,,-2445,
2024-12-03 00:00:00,W49,UKD,SO24004174,OEM 2025 Cycle C Global MF,793785C01,,2925.0,Mar,W10,Cell-1,,-2925,,,-2925,
2024-12-03 00:00:00,W49,UKD,SO24004177,OEM 2025 Cycle C Global MF,793785C01,,909.0,Mar,W10,Cell-1,,-909,,,-909,
